"","Predictor","Marginalized error","Model error","Relative change","Z-value"
"61","gold1",0.2378,0.2378,0,-0.888
"62","gold2",0.2379,0.2378,0,0.485
"63","goldclass",0.2379,0.2378,0,0.547
"64","h2_blockers",0.2378,0.2378,0,-0.75
"65","have_pain",0.2378,0.2378,0,0.198
"66","hearmean",0.2377,0.2378,0,-1.717
"67","hispanic",0.2378,0.2378,0,2.028
"68","hosp1yr",0.2381,0.2378,0.001,2.349
"69","ics",0.2379,0.2378,0,1.443
"70","icslaba",0.2379,0.2378,0,0.624
"71","icslabalama",0.2378,0.2378,0,0.909
"72","icslama",0.2378,0.2378,0,0.076
"73","icsonly",0.2378,0.2378,0,0.096
"74","laba",0.2379,0.2378,0,0.827
"75","labalama",0.2378,0.2378,0,0.059
"76","labaonly",0.2378,0.2378,0,2.028
"77","lama",0.238,0.2378,0.001,2.134
"78","lamaonly",0.2378,0.2378,0,-0.085
"79","lastYear",0.2379,0.2378,0,1.439
"80","looks_forward",0.2378,0.2378,0,-1.786
"81","loud_cough_snore",0.2379,0.2378,0,0.534
"82","mental_health_z_score",0.2377,0.2378,0,-1.061
"83","misc_baseline_meds",0.2378,0.2378,0,2.028
"84","native",0.2378,0.2378,0,-0.06
"85","noRecentMem",0.2387,0.2378,0.003,4.821
"86","no_interest_in_appearance",0.2379,0.2378,0,1.895
"87","nowsmk",0.238,0.2378,0.001,3.292
"88","on_laba_lama_ics",0.2379,0.2378,0,1.756
"89","oneMonth",0.2381,0.2378,0.001,5.727
"90","other_chol_reducers",0.2378,0.2378,0,-1.001
"91","otherrace",0.2378,0.2378,0,2.028
"92","oxygen",0.2378,0.2378,0,0.785
"93","oxygen_use",0.2379,0.2378,0,1.181
"94","pacific",0.2378,0.2378,0,2.028
"95","packyears",0.2379,0.2378,0,0.432
"96","pain",0.2384,0.2378,0.002,4.009
"97","pain_z_score",0.2382,0.2378,0.002,3.391
"98","panic4",0.2378,0.2378,0,-1.434
"99","past_month_medication",0.2379,0.2378,0,-0.661
"100","phlegm",0.2381,0.2378,0.001,2.861
"101","physfunc",0.2377,0.2378,-0.001,-2.151
"102","physical_z_score",0.2378,0.2378,0,-0.631
"103","proton_pump_inhibitors",0.2379,0.2378,0,1.035
"104","pseudoEst",0.2378,0.2378,0,2.028
"105","rateExacerb",0.2413,0.2378,0.015,7.886
"106","role_phys_z_score",0.2378,0.2378,0,0.695
"107","roleemo",0.2379,0.2378,0,0.724
"108","rolephys",0.2378,0.2378,0,0.384
"109","season",0.2378,0.2378,0,-0.544
"110","seen_mental_health_provider_dep_anx",0.2379,0.2378,0,1.334
"111","sixMonths",0.2378,0.2378,0,-3.086
"112","sleep1",0.238,0.2378,0,2.923
"113","sleep_disturbances",0.2378,0.2378,0,-0.782
"114","sleep_duration",0.2379,0.2378,0,0.1
"115","sleep_dysfunction",0.2379,0.2378,0,1.797
"116","sleep_efficiency",0.2378,0.2378,0,-1.751
"117","sleep_latency",0.2379,0.2378,0,1.362
"118","sleep_medication",0.2379,0.2378,0,-0.176
"119","sleep_qual_overall",0.2378,0.2378,0,-0.793
"120","sleep_quality_global",0.2378,0.2378,0,-0.242
"121","sleep_quality_subjective",0.2379,0.2378,0,0.864
"122","socfunc",0.2378,0.2378,0,-1.066
"123","social_z_score",0.2377,0.2378,0,-1.806
"124","statin",0.2378,0.2378,0,-0.85
"125","statins",0.2379,0.2378,0,-0.251
"126","ster1yr",0.2379,0.2378,0,1.727
"127","stgtotalc",0.2375,0.2378,-0.001,0.086
"128","still_enjoy_things",0.2379,0.2378,0,-0.676
"129","still_laughs",0.2379,0.2378,0,0.696
"130","sudden_feelings_panic",0.2379,0.2378,0,2.473
"131","theophylline_use",0.2378,0.2378,0,-1.526
"132","threeMonths",0.2379,0.2378,0,4.377
"133","time_bedtime_qs_asked",0.2378,0.2378,0,-2.174
"134","time_wakeup_qs_asked",0.2378,0.2378,0,-0.719
"135","too_cold_sleep",0.2378,0.2378,0,-0.608
"136","too_hot_sleep",0.2378,0.2378,0,0.894
"137","trouble_waking",0.2378,0.2378,0,-1.86
"138","trtgroup",0.2385,0.2378,0.003,2.646
"139","vasodilator_use",0.2378,0.2378,0,-1.929
"140","wakeup_mid_night",0.2378,0.2378,0,-0.063
"141","white",0.2378,0.2378,0,-1.114
"142","worries",0.2378,0.2378,0,0.084
