"","Predictor","Marginalized error","Model error","Relative change","Z-value"
"81","loud_cough_snore",0.2388,0.2388,0,-1.088
"82","mental_health_z_score",0.2388,0.2388,0,-0.161
"83","misc_baseline_meds",0.2388,0.2388,0,-0.783
"84","native",0.2388,0.2388,0,-0.783
"85","noRecentMem",0.2397,0.2388,0.003,4.714
"86","no_interest_in_appearance",0.2389,0.2388,0,0.716
"87","nowsmk",0.2389,0.2388,0,1.299
"88","on_laba_lama_ics",0.2389,0.2388,0,2.102
"89","oneMonth",0.2392,0.2388,0.002,6.67
"90","other_chol_reducers",0.2388,0.2388,0,-0.497
"91","otherrace",0.2388,0.2388,0,-0.783
"92","oxygen",0.2389,0.2388,0,1.248
"93","oxygen_use",0.239,0.2388,0.001,1.59
"94","pacific",0.2388,0.2388,0,-0.783
"95","packyears",0.2387,0.2388,-0.001,-1.048
"96","pain",0.2391,0.2388,0.001,2.573
"97","pain_z_score",0.2392,0.2388,0.001,3.151
"98","panic4",0.2388,0.2388,0,-0.482
"99","past_month_medication",0.2388,0.2388,0,-1.348
"100","phlegm",0.2391,0.2388,0.001,2.278
"101","physfunc",0.2387,0.2388,-0.001,-1.902
"102","physical_z_score",0.2389,0.2388,0,-0.311
"103","proton_pump_inhibitors",0.2389,0.2388,0,0.398
"104","pseudoEst",0.2388,0.2388,0,-0.783
"105","rateExacerb",0.2415,0.2388,0.011,7.145
"106","role_phys_z_score",0.2387,0.2388,-0.001,-1.078
"107","roleemo",0.2389,0.2388,0,0.679
"108","rolephys",0.2388,0.2388,0,1.06
"109","season",0.2388,0.2388,0,-1.497
"110","seen_mental_health_provider_dep_anx",0.2388,0.2388,0,0.375
"111","sixMonths",0.2388,0.2388,0,-0.298
"112","sleep1",0.2389,0.2388,0,1.796
"113","sleep_disturbances",0.2388,0.2388,0,-0.209
"114","sleep_duration",0.2388,0.2388,0,-0.872
"115","sleep_dysfunction",0.2388,0.2388,0,0.485
"116","sleep_efficiency",0.2387,0.2388,0,-2.724
"117","sleep_latency",0.2388,0.2388,0,-1.716
"118","sleep_medication",0.2388,0.2388,0,-0.959
"119","sleep_qual_overall",0.2388,0.2388,0,-1.042
"120","sleep_quality_global",0.2388,0.2388,0,0.073
"121","sleep_quality_subjective",0.2387,0.2388,0,-2.547
"122","socfunc",0.2388,0.2388,0,0.566
"123","social_z_score",0.2387,0.2388,0,-1.388
"124","statin",0.2389,0.2388,0,0.76
"125","statins",0.2389,0.2388,0,0.401
"126","ster1yr",0.2388,0.2388,0,0.965
"127","stgtotalc",0.2386,0.2388,-0.001,0.214
"128","still_enjoy_things",0.2388,0.2388,0,0.143
"129","still_laughs",0.2388,0.2388,0,0.464
"130","sudden_feelings_panic",0.2389,0.2388,0,1.601
"131","theophylline_use",0.2388,0.2388,0,-2.603
"132","threeMonths",0.2389,0.2388,0,3.416
"133","time_bedtime_qs_asked",0.2388,0.2388,0,0.833
"134","time_wakeup_qs_asked",0.2388,0.2388,0,-0.809
"135","too_cold_sleep",0.2388,0.2388,0,0.337
"136","too_hot_sleep",0.2388,0.2388,0,-1.209
"137","trouble_waking",0.2388,0.2388,0,0.468
"138","trtgroup",0.2395,0.2388,0.003,2.439
"139","vasodilator_use",0.2388,0.2388,0,-0.051
"140","wakeup_mid_night",0.2388,0.2388,0,-0.638
"141","white",0.2388,0.2388,0,-0.731
"142","worries",0.2388,0.2388,0,-1.828
