"","Predictor","Marginalized error","Model error","Relative change","Z-value"
"39","diuretics",0.2396,0.2395,0,0.619
"40","emotional_z_score",0.2396,0.2395,0,1.188
"41","emowell",0.2395,0.2395,0,-0.561
"42","energy",0.2396,0.2395,0,1.664
"43","energy_z_score",0.2395,0.2395,0,1.106
"44","enthusiastic_issues",0.2395,0.2395,0,0.373
"45","experiencedSevere",0.2398,0.2395,0.001,3.809
"46","fails_sleep_in_30min",0.2395,0.2395,0,-1.228
"47","feels_butterfly_fright",0.2395,0.2395,0,-0.615
"48","feels_cheerful",0.2396,0.2395,0,-0.08
"49","feels_restless",0.2395,0.2395,0,0.021
"50","feels_slowed_down",0.2395,0.2395,0,0.026
"51","fev1_liters",0.2396,0.2395,0,1.663
"52","fev1_predicted_baseline",0.2395,0.2395,0,1.417
"53","fev1fvcpct_",0.2397,0.2395,0.001,2.084
"54","fvc_liters",0.2394,0.2395,-0.001,0.551
"55","gen_health_z_score",0.2403,0.2395,0.003,3.476
"56","gender",0.2403,0.2395,0.003,3.036
"57","genhealth",0.2403,0.2395,0.003,3.094
"58","get_up_bathroom",0.2396,0.2395,0,0.62
"59","get_up_time_hours",0.2395,0.2395,0,-0.175
"60","get_up_time_minutes",0.2395,0.2395,0,-1.937
"61","gold1",0.2395,0.2395,0,-0.143
"62","gold2",0.2395,0.2395,0,0.348
"63","goldclass",0.2395,0.2395,0,-0.539
"64","h2_blockers",0.2395,0.2395,0,-0.233
"65","have_pain",0.2396,0.2395,0,1.633
"66","hearmean",0.2393,0.2395,-0.001,-2.601
"67","hispanic",0.2395,0.2395,0,1.09
"68","hosp1yr",0.2398,0.2395,0.001,2.491
"69","ics",0.2396,0.2395,0,1.925
"70","icslaba",0.2396,0.2395,0,0.765
"71","icslabalama",0.2395,0.2395,0,0.739
"72","icslama",0.2396,0.2395,0,2.023
"73","icsonly",0.2395,0.2395,0,-1.164
"74","laba",0.2397,0.2395,0.001,2.325
"75","labalama",0.2396,0.2395,0,1.929
"76","labaonly",0.2395,0.2395,0,1.09
"77","lama",0.2396,0.2395,0,1.338
"78","lamaonly",0.2396,0.2395,0,1.087
"79","lastYear",0.2396,0.2395,0,1.999
"80","looks_forward",0.2395,0.2395,0,-1.254
"81","loud_cough_snore",0.2395,0.2395,0,0.114
"82","mental_health_z_score",0.2396,0.2395,0,0.184
"83","misc_baseline_meds",0.2395,0.2395,0,1.09
"84","native",0.2395,0.2395,0,-1.243
"85","noRecentMem",0.2401,0.2395,0.002,3.9
"86","no_interest_in_appearance",0.2395,0.2395,0,-0.095
"87","nowsmk",0.2397,0.2395,0.001,2.721
"88","on_laba_lama_ics",0.2396,0.2395,0,1.898
"89","oneMonth",0.2398,0.2395,0.001,5.73
"90","other_chol_reducers",0.2395,0.2395,0,-0.983
"91","otherrace",0.2395,0.2395,0,1.09
"92","oxygen",0.2395,0.2395,0,0.48
"93","oxygen_use",0.2397,0.2395,0.001,2.035
"94","pacific",0.2395,0.2395,0,1.09
"95","packyears",0.2395,0.2395,0,-0.511
"96","pain",0.2399,0.2395,0.002,2.841
"97","pain_z_score",0.2399,0.2395,0.002,3.348
"98","panic4",0.2395,0.2395,0,-1.92
"99","past_month_medication",0.2395,0.2395,0,-1.675
"100","phlegm",0.2399,0.2395,0.001,2.528
"101","physfunc",0.2395,0.2395,0,-1.544
"102","physical_z_score",0.2395,0.2395,0,-1.187
"103","proton_pump_inhibitors",0.2396,0.2395,0,0.176
"104","pseudoEst",0.2395,0.2395,0,1.09
"105","rateExacerb",0.2418,0.2395,0.009,6.122
"106","role_phys_z_score",0.2396,0.2395,0,1.021
"107","roleemo",0.2395,0.2395,0,-1.252
"108","rolephys",0.2394,0.2395,-0.001,-0.682
"109","season",0.2395,0.2395,0,0.476
"110","seen_mental_health_provider_dep_anx",0.2398,0.2395,0.001,2.079
"111","sixMonths",0.2395,0.2395,0,1.577
"112","sleep1",0.2396,0.2395,0,2.219
"113","sleep_disturbances",0.2395,0.2395,0,-0.883
"114","sleep_duration",0.2395,0.2395,0,-1.375
"115","sleep_dysfunction",0.2396,0.2395,0,3.095
"116","sleep_efficiency",0.2395,0.2395,0,-0.957
"117","sleep_latency",0.2395,0.2395,0,0.729
"118","sleep_medication",0.2395,0.2395,0,-1.598
"119","sleep_qual_overall",0.2396,0.2395,0,0.088
"120","sleep_quality_global",0.2395,0.2395,0,-0.011
"121","sleep_quality_subjective",0.2395,0.2395,0,-0.77
"122","socfunc",0.2395,0.2395,0,-0.76
"123","social_z_score",0.2395,0.2395,0,-1.247
"124","statin",0.2395,0.2395,0,-0.847
"125","statins",0.2396,0.2395,0,0.917
"126","ster1yr",0.2396,0.2395,0,1.595
"127","stgtotalc",0.2393,0.2395,-0.001,-0.668
"128","still_enjoy_things",0.2396,0.2395,0,-0.093
"129","still_laughs",0.2395,0.2395,0,-0.955
"130","sudden_feelings_panic",0.2396,0.2395,0,0.216
"131","theophylline_use",0.2395,0.2395,0,-0.65
"132","threeMonths",0.2396,0.2395,0,4.516
"133","time_bedtime_qs_asked",0.2395,0.2395,0,-1.328
"134","time_wakeup_qs_asked",0.2395,0.2395,0,1.09
"135","too_cold_sleep",0.2395,0.2395,0,-0.695
"136","too_hot_sleep",0.2395,0.2395,0,-0.768
"137","trouble_waking",0.2396,0.2395,0,0.733
"138","trtgroup",0.2403,0.2395,0.003,2.856
"139","vasodilator_use",0.2395,0.2395,0,-0.676
"140","wakeup_mid_night",0.2395,0.2395,0,-2.506
"141","white",0.2395,0.2395,0,-0.795
"142","worries",0.2396,0.2395,0,-0.079
