"","Predictor","Marginalized error","Model error","Relative change","Z-value"
"126","ster1yr",0.238,0.2379,0,1.74
"127","stgtotalc",0.2376,0.2379,-0.001,-0.386
"128","still_enjoy_things",0.2379,0.2379,0,-1.358
"129","still_laughs",0.2379,0.2379,0,-0.436
"130","sudden_feelings_panic",0.2379,0.2379,0,0.284
"131","theophylline_use",0.2379,0.2379,0,-1.719
"132","threeMonths",0.2381,0.2379,0.001,5.36
"133","time_bedtime_qs_asked",0.2379,0.2379,0,-1.551
"134","time_wakeup_qs_asked",0.2379,0.2379,0,-0.054
"135","too_cold_sleep",0.2379,0.2379,0,-0.204
"136","too_hot_sleep",0.2379,0.2379,0,-0.35
"137","trouble_waking",0.2379,0.2379,0,0.825
"138","trtgroup",0.2386,0.2379,0.003,2.381
"139","vasodilator_use",0.2379,0.2379,0,-0.288
"140","wakeup_mid_night",0.2379,0.2379,0,-2.471
"141","white",0.2379,0.2379,0,-2.478
"142","worries",0.238,0.2379,0,0.672
