"","Predictor","Marginalized error","Model error","Relative change","Z-value"
"49","feels_restless",0.2385,0.2385,0,0.935
"50","feels_slowed_down",0.2384,0.2385,0,-1.077
"51","fev1_liters",0.2384,0.2385,0,1.082
"52","fev1_predicted_baseline",0.2384,0.2385,0,1.037
"53","fev1fvcpct_",0.2385,0.2385,0,1.674
"54","fvc_liters",0.2382,0.2385,-0.001,-1.104
"55","gen_health_z_score",0.239,0.2385,0.002,3.123
"56","gender",0.2393,0.2385,0.003,2.593
"57","genhealth",0.2393,0.2385,0.004,3.681
"58","get_up_bathroom",0.2384,0.2385,0,-1.197
"59","get_up_time_hours",0.2384,0.2385,0,-0.413
"60","get_up_time_minutes",0.2385,0.2385,0,-0.829
"61","gold1",0.2385,0.2385,0,0.57
"62","gold2",0.2385,0.2385,0,0.29
"63","goldclass",0.2384,0.2385,0,-0.978
"64","h2_blockers",0.2385,0.2385,0,-0.025
"65","have_pain",0.2385,0.2385,0,0.783
"66","hearmean",0.2382,0.2385,-0.001,-2.541
"67","hispanic",0.2385,0.2385,0,-0.079
"68","hosp1yr",0.2385,0.2385,0,1.573
"69","ics",0.2385,0.2385,0,1.677
"70","icslaba",0.2385,0.2385,0,0.917
"71","icslabalama",0.2385,0.2385,0,1.233
"72","icslama",0.2385,0.2385,0,1.018
"73","icsonly",0.2385,0.2385,0,-1.613
"74","laba",0.2386,0.2385,0.001,2.808
"75","labalama",0.2385,0.2385,0,-0.708
"76","labaonly",0.2385,0.2385,0,-0.079
"77","lama",0.2386,0.2385,0,1.457
"78","lamaonly",0.2384,0.2385,0,-1.099
"79","lastYear",0.2385,0.2385,0,1.027
"80","looks_forward",0.2384,0.2385,0,-1.092
"81","loud_cough_snore",0.2384,0.2385,0,-0.811
"82","mental_health_z_score",0.2385,0.2385,0,-0.123
"83","misc_baseline_meds",0.2385,0.2385,0,-0.079
"84","native",0.2385,0.2385,0,-0.707
"85","noRecentMem",0.2396,0.2385,0.005,5.291
"86","no_interest_in_appearance",0.2385,0.2385,0,0.287
"87","nowsmk",0.2386,0.2385,0.001,2.867
"88","on_laba_lama_ics",0.2385,0.2385,0,1.798
"89","oneMonth",0.2389,0.2385,0.002,7.91
"90","other_chol_reducers",0.2385,0.2385,0,-0.862
"91","otherrace",0.2385,0.2385,0,-0.079
"92","oxygen",0.2385,0.2385,0,0.815
"93","oxygen_use",0.2387,0.2385,0.001,2.284
"94","pacific",0.2385,0.2385,0,-0.079
"95","packyears",0.2385,0.2385,0,0.516
"96","pain",0.2388,0.2385,0.001,3.095
"97","pain_z_score",0.2388,0.2385,0.001,3.452
"98","panic4",0.2384,0.2385,0,-1.683
"99","past_month_medication",0.2384,0.2385,0,-1.449
"100","phlegm",0.2388,0.2385,0.002,2.743
"101","physfunc",0.2385,0.2385,0,-0.988
"102","physical_z_score",0.2384,0.2385,0,-1.058
"103","proton_pump_inhibitors",0.2385,0.2385,0,0.647
"104","pseudoEst",0.2385,0.2385,0,-0.079
"105","rateExacerb",0.2404,0.2385,0.008,6.463
"106","role_phys_z_score",0.2384,0.2385,0,1.469
"107","roleemo",0.2385,0.2385,0,0.104
"108","rolephys",0.2384,0.2385,0,0.204
"109","season",0.2384,0.2385,0,0.356
"110","seen_mental_health_provider_dep_anx",0.2386,0.2385,0.001,1.849
"111","sixMonths",0.2385,0.2385,0,0.135
"112","sleep1",0.2385,0.2385,0,0.232
"113","sleep_disturbances",0.2385,0.2385,0,0.761
"114","sleep_duration",0.2385,0.2385,0,0.403
"115","sleep_dysfunction",0.2385,0.2385,0,0.391
"116","sleep_efficiency",0.2385,0.2385,0,-1.16
"117","sleep_latency",0.2384,0.2385,0,-1.215
"118","sleep_medication",0.2384,0.2385,0,-1.336
"119","sleep_qual_overall",0.2385,0.2385,0,-0.68
"120","sleep_quality_global",0.2384,0.2385,0,-1.032
"121","sleep_quality_subjective",0.2384,0.2385,0,-0.755
"122","socfunc",0.2384,0.2385,0,0.327
"123","social_z_score",0.2384,0.2385,0,-1.623
"124","statin",0.2385,0.2385,0,-0.174
"125","statins",0.2385,0.2385,0,0.408
"126","ster1yr",0.2386,0.2385,0.001,1.725
"127","stgtotalc",0.238,0.2385,-0.002,-1.744
"128","still_enjoy_things",0.2385,0.2385,0,0.456
"129","still_laughs",0.2385,0.2385,0,-0.108
"130","sudden_feelings_panic",0.2385,0.2385,0,-0.177
"131","theophylline_use",0.2384,0.2385,0,-1.211
"132","threeMonths",0.2387,0.2385,0.001,5.267
"133","time_bedtime_qs_asked",0.2385,0.2385,0,-0.536
"134","time_wakeup_qs_asked",0.2385,0.2385,0,-0.079
"135","too_cold_sleep",0.2385,0.2385,0,0.24
"136","too_hot_sleep",0.2384,0.2385,0,-0.617
"137","trouble_waking",0.2385,0.2385,0,0.12
"138","trtgroup",0.2391,0.2385,0.003,2.263
"139","vasodilator_use",0.2385,0.2385,0,-0.924
"140","wakeup_mid_night",0.2385,0.2385,0,-0.572
"141","white",0.2385,0.2385,0,0.045
"142","worries",0.2385,0.2385,0,-0.236
