"","Predictor","Marginalized error","Model error","Relative change","Z-value"
"104","pseudoEst",0.2382,0.2382,0,0.226
"105","rateExacerb",0.2404,0.2382,0.009,6.878
"106","role_phys_z_score",0.2381,0.2382,0,0.211
"107","roleemo",0.2382,0.2382,0,-0.152
"108","rolephys",0.2382,0.2382,0,0.919
"109","season",0.2381,0.2382,0,-0.323
"110","seen_mental_health_provider_dep_anx",0.2384,0.2382,0.001,1.578
"111","sixMonths",0.2382,0.2382,0,1.88
"112","sleep1",0.2382,0.2382,0,2.126
"113","sleep_disturbances",0.2382,0.2382,0,0.434
"114","sleep_duration",0.2382,0.2382,0,0.105
"115","sleep_dysfunction",0.2382,0.2382,0,0.663
"116","sleep_efficiency",0.2381,0.2382,0,-1.131
"117","sleep_latency",0.2382,0.2382,0,-0.365
"118","sleep_medication",0.2382,0.2382,0,0.383
"119","sleep_qual_overall",0.2382,0.2382,0,-0.634
"120","sleep_quality_global",0.2381,0.2382,0,-0.58
"121","sleep_quality_subjective",0.2382,0.2382,0,-0.838
"122","socfunc",0.2381,0.2382,0,-0.029
"123","social_z_score",0.2381,0.2382,0,-0.899
"124","statin",0.2383,0.2382,0,1.341
"125","statins",0.2382,0.2382,0,-0.447
"126","ster1yr",0.2382,0.2382,0,1.177
"127","stgtotalc",0.238,0.2382,-0.001,0.488
"128","still_enjoy_things",0.2381,0.2382,0,-2.222
"129","still_laughs",0.2381,0.2382,0,-1.265
"130","sudden_feelings_panic",0.2382,0.2382,0,0.523
"131","theophylline_use",0.2381,0.2382,0,-1.718
"132","threeMonths",0.2383,0.2382,0.001,5.894
"133","time_bedtime_qs_asked",0.2382,0.2382,0,-1.3
"134","time_wakeup_qs_asked",0.2382,0.2382,0,0.226
"135","too_cold_sleep",0.2381,0.2382,0,-0.884
"136","too_hot_sleep",0.2382,0.2382,0,1.187
"137","trouble_waking",0.2382,0.2382,0,0.357
"138","trtgroup",0.2388,0.2382,0.003,2.468
"139","vasodilator_use",0.2382,0.2382,0,-0.345
"140","wakeup_mid_night",0.2381,0.2382,0,-2.169
"141","white",0.2382,0.2382,0,-0.791
"142","worries",0.2382,0.2382,0,-0.362
